Job Title,Company,Location,Skills Required,Experience,Salary,Description
Data Scientist,Google,Bangalore,Python; Machine Learning; Statistics; SQL,2 years,15 LPA,Work with large datasets to extract insights using AI and ML.
Machine Learning Engineer,Amazon,Hyderabad,Python; TensorFlow; Deep Learning; AWS,3 years,18 LPA,Develop ML models for real-time recommendation systems.
Data Analyst,TCS,Chennai,Excel; Power BI; SQL; Python,1 year,7 LPA,Analyze company data and create visual dashboards.
AI Researcher,OpenAI,Remote,Python; NLP; Deep Learning; Research,5 years,25 LPA,Research and develop advanced AI and NLP models.
Business Analyst,Infosys,Pune,Excel; SQL; Tableau; Communication,2 years,8 LPA,Analyze business processes and provide data-driven insights.
Computer Vision Engineer,NVIDIA,Bangalore,Python; OpenCV; Deep Learning; PyTorch,3 years,20 LPA,Develop vision-based AI applications.
Data Engineer,Microsoft,Hyderabad,SQL; Python; Big Data; Azure,4 years,17 LPA,Build and maintain data pipelines for analytics.
NLP Engineer,IBM,Chennai,Python; NLP; Transformers; Hugging Face,3 years,16 LPA,Develop text-based AI models using NLP techniques.
Statistician,HCL,Noida,Statistics; R; Data Analysis; Excel,2 years,9 LPA,Perform statistical analysis on survey and experiment data.
AI Product Manager,Flipkart,Bangalore,AI Strategy; Product Design; Data Analysis,5 years,22 LPA,Manage AI product roadmap and guide ML teams.

